raw_code,raw_name,source,version
A04.5,Enterite por Campylobact er,cid10_problemas.pdf,cid10_br_2008
A04.6,Enterite devi da a Yersinia ent ero colítica,cid10_problemas.pdf,cid10_br_2008
A04.7,Enterocolite devida a Clo strid iu m difficile,cid10_problemas.pdf,cid10_br_2008
A04.8,Outras infecç ões bacteria nas in testinais especifi,cid10_problemas.pdf,cid10_br_2008
A00.0,"Cólera devida a Vibrio cholerae 01, biótipo cholerae",cid10_problemas.pdf,cid10_br_2008
A00.1,"Cólera devida a Vibrio cholerae 01, biótipo El Tor",cid10_problemas.pdf,cid10_br_2008
A00.9,Cólera não especificada,cid10_problemas.pdf,cid10_br_2008
A01.1,Febre paratifóide A,cid10_problemas.pdf,cid10_br_2008
A01.2,Febre paratifóide B,cid10_problemas.pdf,cid10_br_2008
A01.3,Febre paratifóide C,cid10_problemas.pdf,cid10_br_2008
A01.4,Febre paratifóide não especificada,cid10_problemas.pdf,cid10_br_2008
A02.1,Septicemia por salmonela,cid10_problemas.pdf,cid10_br_2008
A02.8,Outras infecções especificadas por salmonela,cid10_problemas.pdf,cid10_br_2008
A02.9,Infecção não especificada por salmonela,cid10_problemas.pdf,cid10_br_2008
A03.0,Shiguelose devida a Shigella dysenteriae,cid10_problemas.pdf,cid10_br_2008
A03.1,Shiguelose devida a Shigella flexneri,cid10_problemas.pdf,cid10_br_2008
A03.2,Shiguelose devida a Shigella boydii,cid10_problemas.pdf,cid10_br_2008
A03.3,Shiguelose devida a Shigella sonnei,cid10_problemas.pdf,cid10_br_2008
A03.8,Outras shigueloses,cid10_problemas.pdf,cid10_br_2008
A03.9,Shiguelose não especificada,cid10_problemas.pdf,cid10_br_2008
A04.0,Infecção por Escherichia coli enteropatogênica,cid10_problemas.pdf,cid10_br_2008
A04.1,Infecção por Escherichia coli enterotoxigênica,cid10_problemas.pdf,cid10_br_2008
A04.2,Infecção por Escherichia coli enteroinvasiva,cid10_problemas.pdf,cid10_br_2008
A04.3,Infecção por Escherichia coli enterohemorrágica,cid10_problemas.pdf,cid10_br_2008
A04.4,Outras infecções intestinais por Escherichia coli,cid10_problemas.pdf,cid10_br_2008
A04.5,Enterite por Campylobacter,cid10_problemas.pdf,cid10_br_2008
A04.6,Enterite devida a Yersinia enterocolítica,cid10_problemas.pdf,cid10_br_2008
A04.7,Enterocolite devida a Clostridium difficile,cid10_problemas.pdf,cid10_br_2008
A04.8,Outras infecções bacterianas intestinais especificadas,cid10_problemas.pdf,cid10_br_2008
A04.9,Infecção int esti nal bac teriana n ã o especi ficada,cid10_problemas.pdf,cid10_br_2008
A05.0,Intoxicação alim entar estafilo có c ica,cid10_problemas.pdf,cid10_br_2008
A05.1,Botulismo,cid10_problemas.pdf,cid10_br_2008
A05.2,Intoxicação alim entar devida a C lostridiu m perfrin,cid10_problemas.pdf,cid10_br_2008
A05.3,Intoxicação alim entar devida a V ibrio par ahemoly,cid10_problemas.pdf,cid10_br_2008
A05.4,Intoxicação alim entar devida a B acillus c ereus,cid10_problemas.pdf,cid10_br_2008
A05.8,Outras intox ica ções al imenta re s bacteria nas espe,cid10_problemas.pdf,cid10_br_2008
A05.9,Intoxicação alim entar bacteri an a não esp ecificada,cid10_problemas.pdf,cid10_br_2008
A06.0,Disenteria a me biana aguda,cid10_problemas.pdf,cid10_br_2008
A06.1,Amebíase in tes tinal cr ônica,cid10_problemas.pdf,cid10_br_2008
A06.2,Colite ameb ian a não­ disentér ic a,cid10_problemas.pdf,cid10_br_2008
A06.3,Ameboma i ntes tinal,cid10_problemas.pdf,cid10_br_2008
A06.4,Abscesso a me biano d o fígad o,cid10_problemas.pdf,cid10_br_2008
A06.7,Amebíase c utâ nea,cid10_problemas.pdf,cid10_br_2008
A06.8,Infecção am ebi ana de outras lo c alizaçõe s,cid10_problemas.pdf,cid10_br_2008
A06.9,Amebíase n ão especi ficada,cid10_problemas.pdf,cid10_br_2008
A07.0,Balantidíase,cid10_problemas.pdf,cid10_br_2008
A07.1,Giardíase [la mb líase],cid10_problemas.pdf,cid10_br_2008
A07.2,Criptosporid ios e,cid10_problemas.pdf,cid10_br_2008
A07.3,Isosporíase,cid10_problemas.pdf,cid10_br_2008
A07.8,Outras doen ças intesti nais es p ec ificadas por prot,cid10_problemas.pdf,cid10_br_2008
A07.9,Doença inte stin al não especif ic ad a por pr otozoári,cid10_problemas.pdf,cid10_br_2008
A08.0,Enterite por rot avírus,cid10_problemas.pdf,cid10_br_2008
A08.1,Gastroenter opa tia agu da pelo a g ente de Norwalk,cid10_problemas.pdf,cid10_br_2008
A08.2,Enterite por ad enovíru s,cid10_problemas.pdf,cid10_br_2008
A08.3,Outras ente rite s virais,cid10_problemas.pdf,cid10_br_2008
A08.4,Infecção int esti nal dev ida a v íru s não esp ecificad,cid10_problemas.pdf,cid10_br_2008
A08.5,Outras infec çõe s intes tinais e s pe cificada s,cid10_problemas.pdf,cid10_br_2008
A09,Diarréia e ga str oenteri te de or ig e m infecc iosa pres,cid10_problemas.pdf,cid10_br_2008
A15.0,"Tuberculose pu lmonar , com c o nfi rmação por exam",cid10_problemas.pdf,cid10_br_2008
A15.1,"Tuberculose pu lmonar , com c on fi rmação somente",cid10_problemas.pdf,cid10_br_2008
A04.9,Infecção intestinal bacteriana não especificada,cid10_problemas.pdf,cid10_br_2008
A05.0,Intoxicação alimentar estafilocócica,cid10_problemas.pdf,cid10_br_2008
A05.2,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],cid10_problemas.pdf,cid10_br_2008
A05.3,Intoxicação alimentar devida a Vibrio parahemolyticus,cid10_problemas.pdf,cid10_br_2008
A05.4,Intoxicação alimentar devida a Bacillus cereus,cid10_problemas.pdf,cid10_br_2008
A05.8,Outras intoxicações alimentares bacterianas especificadas,cid10_problemas.pdf,cid10_br_2008
A05.9,Intoxicação alimentar bacteriana não especificada,cid10_problemas.pdf,cid10_br_2008
A06.0,Disenteria amebiana aguda,cid10_problemas.pdf,cid10_br_2008
A06.1,Amebíase intestinal crônica,cid10_problemas.pdf,cid10_br_2008
A06.2,Colite amebiana não­disentérica,cid10_problemas.pdf,cid10_br_2008
A06.3,Ameboma intestinal,cid10_problemas.pdf,cid10_br_2008
A06.4,Abscesso amebiano do fígado,cid10_problemas.pdf,cid10_br_2008
A06.7,Amebíase cutânea,cid10_problemas.pdf,cid10_br_2008
A06.8,Infecção amebiana de outras localizações,cid10_problemas.pdf,cid10_br_2008
A06.9,Amebíase não especificada,cid10_problemas.pdf,cid10_br_2008
A07.1,Giardíase [lamblíase],cid10_problemas.pdf,cid10_br_2008
A07.2,Criptosporidiose,cid10_problemas.pdf,cid10_br_2008
A07.8,Outras doenças intestinais especificadas por protozoários,cid10_problemas.pdf,cid10_br_2008
A07.9,Doença intestinal não especificada por protozoários,cid10_problemas.pdf,cid10_br_2008
A08.0,Enterite por rotavírus,cid10_problemas.pdf,cid10_br_2008
A08.1,Gastroenteropatia aguda pelo agente de Norwalk,cid10_problemas.pdf,cid10_br_2008
A08.2,Enterite por adenovírus,cid10_problemas.pdf,cid10_br_2008
A08.3,Outras enterites virais,cid10_problemas.pdf,cid10_br_2008
A08.4,Infecção intestinal devida a vírus não especificado,cid10_problemas.pdf,cid10_br_2008
A08.5,Outras infecções intestinais especificadas,cid10_problemas.pdf,cid10_br_2008
A09,Diarréia e gastroenterite de origem infecciosa presumível,cid10_problemas.pdf,cid10_br_2008
A15.0,"Tuberculose pulmonar, com confirmação por exame microscópio da expectoração, com ou sem",cid10_problemas.pdf,cid10_br_2008
A15.1,"Tuberculose pulmonar, com confirmação somente por cultura",cid10_problemas.pdf,cid10_br_2008
A15.2,"Tuberculose pulmonar, com conf irmação histológ ica",cid10_problemas.pdf,cid10_br_2008
A15.3,"Tuberculose pulmonar, com conf irmação por mei o não especif icado",cid10_problemas.pdf,cid10_br_2008
A15.4,"Tuberculose dos gângl ios intrato rácicos, com con firmação bac teriológica e histol ógica",cid10_problemas.pdf,cid10_br_2008
A15.5,"Tuberculose da laringe , da traqu éia e do s brônqu ios, com con firmação bacterioló gica e",cid10_problemas.pdf,cid10_br_2008
A15.6,"Pleuris tuberculoso, co m confirm ação ba cteriológ ica e histológ ica",cid10_problemas.pdf,cid10_br_2008
A15.7,"Tuberculose primária d as vias re spiratóri as, com confirmação bacteriológica e his tológica",cid10_problemas.pdf,cid10_br_2008
A15.8,"Outras formas de tube rculose da s vias re spiratóri as, com conf irmação bacterioló gica e",cid10_problemas.pdf,cid10_br_2008
A15.9,"Tuberculose não espec ificada da s vias re spiratóri as, com conf irmação bacterioló gica e",cid10_problemas.pdf,cid10_br_2008
A16.0,Tuberculose pulmonar com exam es bact eriológic o e histológic o negativos,cid10_problemas.pdf,cid10_br_2008
A16.1,"Tuberculose pulmonar, sem reali zação d e exame bacteriológic o ou histológico",cid10_problemas.pdf,cid10_br_2008
A16.2,"Tuberculose pulmonar, sem men ção de c onfirma ção bacteriol ógica ou histológica",cid10_problemas.pdf,cid10_br_2008
A16.3,"Tuberculose dos gângl ios intrato rácicos, sem me nção de conf irmação bacteriológ ica ou",cid10_problemas.pdf,cid10_br_2008
A16.4,"Tuberculose da laringe , da traqu éia e do s brônqu ios, sem men ção de confirmaçã o bacteriol",cid10_problemas.pdf,cid10_br_2008
A16.5,"Pleurisia tuberculosa, sem menç ão de co nfirmaç ão bacterioló gica ou histológica",cid10_problemas.pdf,cid10_br_2008
A16.7,Tuberculosa respiratóri a primária sem m enção de confirmação bacteriológica ou histológica,cid10_problemas.pdf,cid10_br_2008
A16.8,"Outras formas de tube rculose da s vias re spiratóri as, sem men ção de confirmaçã o bacteriol",cid10_problemas.pdf,cid10_br_2008
A16.9,"Tuberculose respiratóri a, não es pecificad a, sem menção de c onfirmação bacterio lógica ou",cid10_problemas.pdf,cid10_br_2008
A18.1,Tuberculose do aparelh o genituri nário,cid10_problemas.pdf,cid10_br_2008
A18.2,Linfadenopatia tubercu losa perif érica,cid10_problemas.pdf,cid10_br_2008
A18.3,"Tuberculose do intestin o, do peri tônio e d os gâng lios mesenté ricos",cid10_problemas.pdf,cid10_br_2008
A18.4,Tuberculose de pele e do tecido celular s ubcutân eo,cid10_problemas.pdf,cid10_br_2008
A15.2,"Tuberculose pulmonar, com confirmação histológica",cid10_problemas.pdf,cid10_br_2008
A15.3,"Tuberculose pulmonar, com confirmação por meio não especificado",cid10_problemas.pdf,cid10_br_2008
A15.4,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",cid10_problemas.pdf,cid10_br_2008
A15.5,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e",cid10_problemas.pdf,cid10_br_2008
A15.6,"Pleuris tuberculoso, com confirmação bacteriológica e histológica",cid10_problemas.pdf,cid10_br_2008
A15.7,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",cid10_problemas.pdf,cid10_br_2008
A15.8,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e",cid10_problemas.pdf,cid10_br_2008
A15.9,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e",cid10_problemas.pdf,cid10_br_2008
A16.0,Tuberculose pulmonar com exames bacteriológico e histológico negativos,cid10_problemas.pdf,cid10_br_2008
A16.1,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",cid10_problemas.pdf,cid10_br_2008
A16.2,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",cid10_problemas.pdf,cid10_br_2008
A16.3,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou",cid10_problemas.pdf,cid10_br_2008
A16.4,"Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica",cid10_problemas.pdf,cid10_br_2008
A16.5,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica",cid10_problemas.pdf,cid10_br_2008
A16.7,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,cid10_problemas.pdf,cid10_br_2008
A16.8,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica",cid10_problemas.pdf,cid10_br_2008
A16.9,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou",cid10_problemas.pdf,cid10_br_2008
A18.1,Tuberculose do aparelho geniturinário,cid10_problemas.pdf,cid10_br_2008
A18.2,Linfadenopatia tuberculosa periférica,cid10_problemas.pdf,cid10_br_2008
A18.3,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",cid10_problemas.pdf,cid10_br_2008
A18.4,Tuberculose de pele e do tecido celular subcutâneo,cid10_problemas.pdf,cid10_br_2008
A19.0,Tuberculose m iliar agud a de localiza,cid10_problemas.pdf,cid10_br_2008
A19.1,Tuberculose m iliar agud a de múltipla,cid10_problemas.pdf,cid10_br_2008
A19.2,Tuberculose m iliar agud a não espec,cid10_problemas.pdf,cid10_br_2008
A19.8,Outras tubercu loses mil iares,cid10_problemas.pdf,cid10_br_2008
A19.9,Tuberculose m iliar não especificada,cid10_problemas.pdf,cid10_br_2008
A20.0,Peste bubônic a,cid10_problemas.pdf,cid10_br_2008
A20.1,Peste celulocu tânea,cid10_problemas.pdf,cid10_br_2008
A20.2,Peste pneumô nica,cid10_problemas.pdf,cid10_br_2008
A20.3,Peste menínge a,cid10_problemas.pdf,cid10_br_2008
A20.7,Peste septicêm ica,cid10_problemas.pdf,cid10_br_2008
A20.8,Outras formas de peste,cid10_problemas.pdf,cid10_br_2008
A20.9,"Peste, forma n ão espec ificada",cid10_problemas.pdf,cid10_br_2008
A21.0,Tularemia ulce roglandu lar,cid10_problemas.pdf,cid10_br_2008
A21.1,Tularemia ocul oglandula r,cid10_problemas.pdf,cid10_br_2008
A21.2,Tularemia pulm onar,cid10_problemas.pdf,cid10_br_2008
A21.3,Tularemia gast rointestin al,cid10_problemas.pdf,cid10_br_2008
A21.7,Tularemia gen eralizada,cid10_problemas.pdf,cid10_br_2008
A21.8,Outras formas de tulare mia,cid10_problemas.pdf,cid10_br_2008
A21.9,"Tularemia, form a não e specificada",cid10_problemas.pdf,cid10_br_2008
A22.0,Carbúnculo cu tâneo,cid10_problemas.pdf,cid10_br_2008
A22.1,Carbúnculo pu lmonar,cid10_problemas.pdf,cid10_br_2008
A22.2,Carbúnculo ga strointes tinal,cid10_problemas.pdf,cid10_br_2008
A22.7,Septicemia car bunculo sa,cid10_problemas.pdf,cid10_br_2008
A22.8,Outras formas de carbú nculo,cid10_problemas.pdf,cid10_br_2008
A22.9,"Carbúnculo, fo rma não especificada",cid10_problemas.pdf,cid10_br_2008
A23.0,Brucelose por Brucella melitensis,cid10_problemas.pdf,cid10_br_2008
A23.1,Brucelose por Brucella abortus,cid10_problemas.pdf,cid10_br_2008
A23.2,Brucelose por Brucella suis,cid10_problemas.pdf,cid10_br_2008
A23.3,Brucelose por Brucella canis,cid10_problemas.pdf,cid10_br_2008
A23.8,Outras brucelo ses,cid10_problemas.pdf,cid10_br_2008
A23.9,Brucelose não especific ada,cid10_problemas.pdf,cid10_br_2008
A24.0,Mormo,cid10_problemas.pdf,cid10_br_2008
A24.1,Melioidose agu da e fulm inante,cid10_problemas.pdf,cid10_br_2008
A19.0,Tuberculose miliar aguda de localização única e especificada,cid10_problemas.pdf,cid10_br_2008
A19.1,Tuberculose miliar aguda de múltiplas localizações,cid10_problemas.pdf,cid10_br_2008
A19.2,Tuberculose miliar aguda não especificada,cid10_problemas.pdf,cid10_br_2008
A19.8,Outras tuberculoses miliares,cid10_problemas.pdf,cid10_br_2008
A19.9,Tuberculose miliar não especificada,cid10_problemas.pdf,cid10_br_2008
A20.0,Peste bubônica,cid10_problemas.pdf,cid10_br_2008
A20.1,Peste celulocutânea,cid10_problemas.pdf,cid10_br_2008
A20.2,Peste pneumônica,cid10_problemas.pdf,cid10_br_2008
A20.3,Peste meníngea,cid10_problemas.pdf,cid10_br_2008
A20.7,Peste septicêmica,cid10_problemas.pdf,cid10_br_2008
A20.9,"Peste, forma não especificada",cid10_problemas.pdf,cid10_br_2008
A21.0,Tularemia ulceroglandular,cid10_problemas.pdf,cid10_br_2008
A21.1,Tularemia oculoglandular,cid10_problemas.pdf,cid10_br_2008
A21.2,Tularemia pulmonar,cid10_problemas.pdf,cid10_br_2008
A21.3,Tularemia gastrointestinal,cid10_problemas.pdf,cid10_br_2008
A21.7,Tularemia generalizada,cid10_problemas.pdf,cid10_br_2008
A21.8,Outras formas de tularemia,cid10_problemas.pdf,cid10_br_2008
A21.9,"Tularemia, forma não especificada",cid10_problemas.pdf,cid10_br_2008
A22.0,Carbúnculo cutâneo,cid10_problemas.pdf,cid10_br_2008
A22.1,Carbúnculo pulmonar,cid10_problemas.pdf,cid10_br_2008
A22.2,Carbúnculo gastrointestinal,cid10_problemas.pdf,cid10_br_2008
A22.7,Septicemia carbunculosa,cid10_problemas.pdf,cid10_br_2008
A22.8,Outras formas de carbúnculo,cid10_problemas.pdf,cid10_br_2008
A22.9,"Carbúnculo, forma não especificada",cid10_problemas.pdf,cid10_br_2008
A23.8,Outras bruceloses,cid10_problemas.pdf,cid10_br_2008
A23.9,Brucelose não especificada,cid10_problemas.pdf,cid10_br_2008
A24.1,Melioidose aguda e fulminante,cid10_problemas.pdf,cid10_br_2008
A24.2,Melioidose s ubagu da e crônica,cid10_problemas.pdf,cid10_br_2008
A24.3,Outras melio idoses,cid10_problemas.pdf,cid10_br_2008
A24.4,Melioidose n ão esp ecificada,cid10_problemas.pdf,cid10_br_2008
A25.0,Espirilose,cid10_problemas.pdf,cid10_br_2008
A25.1,Estreptobacil ose,cid10_problemas.pdf,cid10_br_2008
A25.9,Febre transm itida p or mordedura,cid10_problemas.pdf,cid10_br_2008
A26.0,Erisipelóide cutâne o,cid10_problemas.pdf,cid10_br_2008
A26.7,Septicemia p or Ery sipelothrix,cid10_problemas.pdf,cid10_br_2008
A26.8,Outras forma s de e risipelóide,cid10_problemas.pdf,cid10_br_2008
A26.9,Erisipelóide não es pecificado,cid10_problemas.pdf,cid10_br_2008
A27.0,Leptopirose i cteroh emorrágica,cid10_problemas.pdf,cid10_br_2008
A27.8,Outras forma s de le ptospirose,cid10_problemas.pdf,cid10_br_2008
A27.9,Leptospirose não e specificada,cid10_problemas.pdf,cid10_br_2008
A28.0,Pasteurelose,cid10_problemas.pdf,cid10_br_2008
A28.1,Doença por arranha dura do gato,cid10_problemas.pdf,cid10_br_2008
A28.2,Yersiniose e xtra­int estinal,cid10_problemas.pdf,cid10_br_2008
A28.8,Outras doen ças ba cterianas zoon,cid10_problemas.pdf,cid10_br_2008
A28.9,Doença bact eriana zoonótica não,cid10_problemas.pdf,cid10_br_2008
A30.0,Hanseníase [lepra] indeterminada,cid10_problemas.pdf,cid10_br_2008
A30.1,Hanseníase [lepra] tuberculóide,cid10_problemas.pdf,cid10_br_2008
A30.2,Hanseníase [lepra] tuberculóide b,cid10_problemas.pdf,cid10_br_2008
A30.3,Hanseníase [lepra] dimorfa,cid10_problemas.pdf,cid10_br_2008
A30.4,Hanseníase [lepra] lepromatosa b,cid10_problemas.pdf,cid10_br_2008
A30.5,Hanseníase [lepra] lepromatosa,cid10_problemas.pdf,cid10_br_2008
A30.8,Outras forma s de h anseníase [lep,cid10_problemas.pdf,cid10_br_2008
A30.9,Hanseníase [lepra] não especifica,cid10_problemas.pdf,cid10_br_2008
A31.0,Infecção pul monar micobacteriana,cid10_problemas.pdf,cid10_br_2008
A31.1,Infecção cutâ nea m icobacteriana,cid10_problemas.pdf,cid10_br_2008
A31.8,Outras infecç ões m icobacterianas,cid10_problemas.pdf,cid10_br_2008
A31.9,Infecção mic obacte riana não espe,cid10_problemas.pdf,cid10_br_2008
A32.0,Listeriose cu tânea,cid10_problemas.pdf,cid10_br_2008
A32.7,Septicemia li sterióti ca,cid10_problemas.pdf,cid10_br_2008
A32.8,Outras forma s de li steriose,cid10_problemas.pdf,cid10_br_2008
A24.2,Melioidose subaguda e crônica,cid10_problemas.pdf,cid10_br_2008
A24.3,Outras melioidoses,cid10_problemas.pdf,cid10_br_2008
A24.4,Melioidose não especificada,cid10_problemas.pdf,cid10_br_2008
A25.1,Estreptobacilose,cid10_problemas.pdf,cid10_br_2008
A25.9,"Febre transmitida por mordedura de rato, tipo não especificado",cid10_problemas.pdf,cid10_br_2008
A26.0,Erisipelóide cutâneo,cid10_problemas.pdf,cid10_br_2008
A26.7,Septicemia por Erysipelothrix,cid10_problemas.pdf,cid10_br_2008
A26.8,Outras formas de erisipelóide,cid10_problemas.pdf,cid10_br_2008
A26.9,Erisipelóide não especificado,cid10_problemas.pdf,cid10_br_2008
A27.0,Leptopirose icterohemorrágica,cid10_problemas.pdf,cid10_br_2008
A27.8,Outras formas de leptospirose,cid10_problemas.pdf,cid10_br_2008
A27.9,Leptospirose não especificada,cid10_problemas.pdf,cid10_br_2008
A28.1,Doença por arranhadura do gato,cid10_problemas.pdf,cid10_br_2008
A28.2,Yersiniose extra­intestinal,cid10_problemas.pdf,cid10_br_2008
A28.8,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte,cid10_problemas.pdf,cid10_br_2008
A28.9,Doença bacteriana zoonótica não especificada,cid10_problemas.pdf,cid10_br_2008
A30.2,Hanseníase [lepra] tuberculóide borderline,cid10_problemas.pdf,cid10_br_2008
A30.4,Hanseníase [lepra] lepromatosa borderline,cid10_problemas.pdf,cid10_br_2008
A30.8,Outras formas de hanseníase [lepra],cid10_problemas.pdf,cid10_br_2008
A30.9,Hanseníase [lepra] não especificada,cid10_problemas.pdf,cid10_br_2008
A31.0,Infecção pulmonar micobacteriana,cid10_problemas.pdf,cid10_br_2008
A31.1,Infecção cutânea micobacteriana,cid10_problemas.pdf,cid10_br_2008
A31.8,Outras infecções micobacterianas,cid10_problemas.pdf,cid10_br_2008
A31.9,Infecção micobacteriana não especificada,cid10_problemas.pdf,cid10_br_2008
A32.0,Listeriose cutânea,cid10_problemas.pdf,cid10_br_2008
A32.7,Septicemia listeriótica,cid10_problemas.pdf,cid10_br_2008
A32.8,Outras formas de listeriose,cid10_problemas.pdf,cid10_br_2008
A32.9,Listeriose não especificada,cid10_problemas.pdf,cid10_br_2008
A33,Tétano do recé m­nascido [neonatal],cid10_problemas.pdf,cid10_br_2008
A34,Tétano obstétri co,cid10_problemas.pdf,cid10_br_2008
A35,Outros tipos de tétano,cid10_problemas.pdf,cid10_br_2008
A36.0,Difteria farínge a,cid10_problemas.pdf,cid10_br_2008
A36.1,Difteria nasofar íngea,cid10_problemas.pdf,cid10_br_2008
A36.2,Difteria larínge a,cid10_problemas.pdf,cid10_br_2008
A36.3,Difteria cutâne a,cid10_problemas.pdf,cid10_br_2008
A36.8,Outras formas de difteria,cid10_problemas.pdf,cid10_br_2008
A36.9,Difteria não es pecificada,cid10_problemas.pdf,cid10_br_2008
A37.0,Coqueluche po r Bordetella pertussis,cid10_problemas.pdf,cid10_br_2008
A37.1,Coqueluche po r Bordetella parapertussi s,cid10_problemas.pdf,cid10_br_2008
A37.8,Coqueluche po r outras espécies da Bor detella,cid10_problemas.pdf,cid10_br_2008
A37.9,Coqueluche nã o especificada,cid10_problemas.pdf,cid10_br_2008
A38,Escarlatina,cid10_problemas.pdf,cid10_br_2008
A39.2,Meningococce mia aguda,cid10_problemas.pdf,cid10_br_2008
A39.3,Meningococce mia crônica,cid10_problemas.pdf,cid10_br_2008
A39.4,Meningococce mia não especificada,cid10_problemas.pdf,cid10_br_2008
A39.8,Outras infecçõ es por meningococos,cid10_problemas.pdf,cid10_br_2008
A39.9,Infecção menin gocócica não especifica da,cid10_problemas.pdf,cid10_br_2008
A40.0,Septicemia por Streptococcus do grupo A,cid10_problemas.pdf,cid10_br_2008
A40.1,Septicemia por Streptococcus do grupo B,cid10_problemas.pdf,cid10_br_2008
A40.2,Septicemia por Streptococcus do grupo D,cid10_problemas.pdf,cid10_br_2008
A40.3,Septicemia por Streptococcus pneumon ia,cid10_problemas.pdf,cid10_br_2008
A40.8,Outras septice mias estreptocócicas,cid10_problemas.pdf,cid10_br_2008
A40.9,Septicemia est reptocócica não especific ada,cid10_problemas.pdf,cid10_br_2008
A41.0,Septicemia por Staphylococcus aureus,cid10_problemas.pdf,cid10_br_2008
A41.1,Septicemia por outros estafilococos esp ecificado,cid10_problemas.pdf,cid10_br_2008
A41.2,Septicemia por estafilococos não especi ficados,cid10_problemas.pdf,cid10_br_2008
A41.3,Septicemia por Haemophilus influenzae,cid10_problemas.pdf,cid10_br_2008
A41.4,Septicemia por anaeróbios,cid10_problemas.pdf,cid10_br_2008
A33,Tétano do recém­nascido [neonatal],cid10_problemas.pdf,cid10_br_2008
A34,Tétano obstétrico,cid10_problemas.pdf,cid10_br_2008
A36.0,Difteria faríngea,cid10_problemas.pdf,cid10_br_2008
A36.1,Difteria nasofaríngea,cid10_problemas.pdf,cid10_br_2008
A36.2,Difteria laríngea,cid10_problemas.pdf,cid10_br_2008
A36.3,Difteria cutânea,cid10_problemas.pdf,cid10_br_2008
A36.9,Difteria não especificada,cid10_problemas.pdf,cid10_br_2008
A37.0,Coqueluche por Bordetella pertussis,cid10_problemas.pdf,cid10_br_2008
A37.1,Coqueluche por Bordetella parapertussis,cid10_problemas.pdf,cid10_br_2008
A37.8,Coqueluche por outras espécies da Bordetella,cid10_problemas.pdf,cid10_br_2008
A37.9,Coqueluche não especificada,cid10_problemas.pdf,cid10_br_2008
A39.2,Meningococcemia aguda,cid10_problemas.pdf,cid10_br_2008
A39.3,Meningococcemia crônica,cid10_problemas.pdf,cid10_br_2008
A39.4,Meningococcemia não especificada,cid10_problemas.pdf,cid10_br_2008
A39.8,Outras infecções por meningococos,cid10_problemas.pdf,cid10_br_2008
A39.9,Infecção meningocócica não especificada,cid10_problemas.pdf,cid10_br_2008
